STUDENT,SESSION,DATA POINT,PHASE
1,1,7,0
1,2,9,0
1,3,8,0
1,4,6,0
1,5,7,0
1,6,4,0
1,7,5,0
1,8,10,0
1,9,2,1
1,10,0,1
1,11,1,1
1,12,0,1
1,13,0,1
1,14,3,0
1,15,8,0
1,16,8,0
1,17,6,0
1,18,10,0
1,19,10,0
1,20,10,0
1,21,8,0
1,22,3,1
1,23,4,1
1,24,1,1
1,25,3,1
1,26,2,1
1,27,4,1
1,28,0,1
1,29,1,1
1,30,0,1
2,1,8,0
2,2,7,0
2,3,7,0
2,4,8,0
2,5,6,0
2,6,7,0
2,7,9,0
2,8,3,1
2,9,1,1
2,10,0,1
2,11,4,1
2,12,0,1
2,13,0,1
2,14,8,0
2,15,9,0
2,16,10,0
2,17,7,0
2,18,9,0
2,19,10,0
2,20,8,0
2,21,10,0
2,22,1,1
2,23,1,1
2,24,0,1
2,25,5,1
2,26,3,1
2,27,6,1
2,28,0,1
2,29,0,1
2,30,2,1
3,1,10,0
3,2,6,0
3,3,6,0
3,4,9,0
3,5,6,0
3,6,10,0
3,7,0,1
3,8,1,1
3,9,1,1
3,10,0,1
3,11,0,1
3,12,5,0
3,13,7,0
3,14,10,0
3,15,5,0
3,16,10,0
3,17,9,0
3,18,10,0
3,19,4,1
3,20,6,1
3,21,5,1
3,22,7,1
3,23,0,1
3,24,0,1
3,25,0,1
3,26,1,1
4,1,10,0
4,2,6,0
4,3,4,0
4,4,8,0
4,5,8,0
4,6,9,0
4,7,10,0
4,8,3,1
4,9,6,1
4,10,0,1
4,11,0,1
4,12,1,1
4,13,3,0
4,14,8,0
4,15,10,0
4,16,10,0
4,17,10,0
4,18,10,0
4,19,5,0
4,20,6,1
4,21,1,1
4,22,5,1
4,23,0,1
4,24,0,1
4,25,0,1
4,26,1,1
5,1,10,0
5,2,6,0
5,3,9,0
5,4,4,0
5,5,5,0
5,6,9,0
5,7,6,0
5,8,10,0
5,9,9,0
5,10,9,0
5,11,4,1
5,12,3,1
5,13,4,1
5,14,4,1
5,15,1,1
5,16,0,1
5,17,3,0
5,18,5,0
5,19,8,0
5,20,10,0
5,21,10,0
5,22,10,0
5,23,6,0
5,24,3,1
5,25,0,1
5,26,2,1
5,27,4,1
5,28,1,1
5,29,0,1
5,30,1,1
5,31,3,1
5,32,0,1
5,33,1,1
5,34,0,1
6,1,7,0
6,2,4,0
6,3,5,0
6,4,7,0
6,5,8,0
6,6,4,0
6,7,8,0
6,8,8,0
6,9,0,1
6,10,0,1
6,11,0,1
6,12,0,1
6,13,5,0
6,14,7,0
6,15,6,0
6,16,4,0
6,17,6,0
6,18,5,0
6,19,0,1
6,20,0,1
6,21,0,1
6,22,2,1
6,23,0,1
6,24,0,1
6,25,0,1
6,26,0,1
6,27,0,1
7,1,6,0
7,2,6,0
7,3,8,0
7,4,9,0
7,5,10,0
7,6,9,0
7,7,8,0
7,8,0,1
7,9,1,1
7,10,2,1
7,11,1,1
7,12,1,1
7,13,0,1
7,14,2,0
7,15,4,0
7,16,4,0
7,17,5,0
7,18,8,0
7,19,8,0
7,20,7,0
7,21,1,1
7,22,0,1
7,23,2,1
7,24,1,1
7,25,0,1
7,26,1,1
7,27,0,1
7,28,1,1
7,29,0,1
8,1,8,0
8,2,1,0
8,3,4,0
8,4,6,0
8,5,6,0
8,6,7,0
8,7,8,0
8,8,8,0
8,9,0,0
8,10,2,0
8,11,0,1
8,12,0,1
8,13,0,1
8,14,2,1
8,15,6,1
8,16,5,0
8,17,6,0
8,18,5,0
8,19,8,0
8,20,4,0
8,21,0,0
8,22,2,0
8,23,1,1
8,24,2,1
8,25,6,1
8,26,0,1
8,27,2,1
8,28,0,1
8,29,1,1
8,30,1,1
9,1,9,0
9,2,5,0
9,3,4,0
9,4,2,0
9,5,3,0
9,6,10,0
9,7,4,0
9,8,10,0
9,9,8,0
9,10,8,0
9,11,0,1
9,12,2,1
9,13,1,1
9,14,3,1
9,15,0,1
9,16,0,1
9,17,3,0
9,18,0,0
9,19,2,0
9,20,7,0
9,21,7,0
9,22,2,0
9,23,0,1
9,24,1,1
9,25,0,1
9,26,2,1
9,27,2,1
9,28,4,1
9,29,0,1
9,30,0,1
9,31,1,1
9,32,1,1
